,Year,Inflation rate compared to the previous year
0,2025*,1.97%
1,2024*,0.86%
2,2023*,0.75%
3,2022*,0.27%
4,2021*,0.01%
5,2020*,-0.77%
6,2019,0.36%
7,2018,0.94%
8,2017,0.54%
9,2016,-0.43%
10,2015,-1.14%
11,2014,-0.01%
12,2013,-0.22%
13,2012,-0.69%
14,2011,0.23%
15,2010,0.69%
16,2009,-0.48%
17,2008,2.43%
18,2007,0.74%
19,2006,1.06%
20,2005,1.17%
21,2004,0.8%
22,2003,0.64%
23,2002,0.64%
24,2001,0.99%
25,2000,1.56%
26,1999,0.81%
27,1998,0.02%
28,1997,0.52%
29,1996,0.81%
30,1995,1.8%
31,1994,0.85%
32,1993,3.29%
33,1992,4.04%
34,1991,5.86%
35,1990,5.4%
36,1989,3.15%
37,1988,1.87%
38,1987,1.44%
39,1986,0.74%
40,1985,3.43%
