,Year,GDP per capita in U.S. dollars
0,2025*,112518.85
1,2024*,107192.0
2,2023*,101923.03
3,2022*,96391.21
4,2021*,90478.08
5,2020*,79668.5
6,2019,80504.4
7,2018,79133.17
8,2017,69869.54
9,2016,62710.0
10,2015,61850.64
11,2014,55390.22
12,2013,51550.93
13,2012,48892.23
14,2011,519312.0
15,2010,48716.46
16,2009,52100.83
17,2008,61193.2
18,2007,60812.43
19,2006,53762.86
20,2005,50475.6
21,2004,47336.15
22,2003,40921.16
23,2002,32438.47
24,2001,28079.52
25,2000,26151.62
26,1999,26189.63
27,1998,24172.17
28,1997,22461.55
29,1996,20774.86
30,1995,19080.8
31,1994,15450.5
32,1993,14258.32
33,1992,15327.07
34,1991,13743.88
35,1990,13640.5
36,1989,10751.24
37,1988,10362.03
38,1987,9416.55
39,1986,7990.64
40,1985,5932.68
