,Response,Percentage of respondents
0,Any gambling activity (f),73%
1,National Lottery Draw,59%
2,Another lottery,25%
3,Scratchcards,24%
4,Horse races (b),16%
5,Slot machines,13%
6,Any other online gambling (e),13%
7,Private betting,11%
8,Sports betting (b),9%
9,Bingo (a),9%
10,Casino games (c),5%
11,Any online betting (d),4%
12,Football pools,4%
13,Dog races (b),4%
14,Betting on non-sports events (b),4%
15,Fixed odds betting terminals,4%
16,Online slot machine style games/instant wins,3%
17,Poker at a pub/club,2%
18,Spread betting,1%
