,Year,GDP in billion U.S. dollars
0,2024*,1695.2
1,2023*,1626.8
2,2022*,1564.59
3,2021*,1503.51
4,2020*,1440.4
5,2019*,1397.87
6,2018,1427.53
7,2017,1317.1
8,2016,1238.0
9,2015,1199.69
10,2014,1379.1
11,2013,1362.28
12,2012,1336.76
13,2011,1489.43
14,2010,1434.29
15,2009,1502.9
16,2008,1642.77
17,2007,1481.39
18,2006,1265.61
19,2005,1159.15
20,2004,1070.68
21,2003,908.41
22,2002,707.33
23,2001,626.4
24,2000,597.03
25,1999,634.37
26,1998,616.89
27,1997,587.92
28,1996,638.44
29,1995,612.43
30,1994,529.82
31,1993,528.01
32,1992,628.57
33,1991,575.02
34,1990,533.92
35,1989,411.57
36,1988,373.14
37,1987,317.6
38,1986,250.68
39,1985,181.17
40,1984,171.96
