,fastest-growing large cities in the United States,Percent increase betwen 2010 and 2019
0,Frisco city (Texas),71.1%
1,Buckeye city (Arizona),56.6%
2,New Braunfels city (Texas),56.4%
3,McKinney city (Texas),51.9%
4,South Jordan city (Utah),51.8%
5,Meridian city (Idaho),48.3%
6,Cedar Park city (Texas),44.2%
7,Fort Myers city (Florida),39.8%
8,Conroe city (Texas),39.3%
9,Irvine city (California),35.5%
10,Murfreesboro city (Tennessee),34.6%
11,Mount Pleasant town (South Carolina),34.1%
12,Round Rock city (Texas),33.36%
13,Goodyear city (Arizona ),33.1%
14,Franklin city (Tennessee),32.8%
