,student society,Amount donated to charity in U.S. dollars
0,(2) Delta Gamma,"792,499$"
1,(11) Kappa Alpha Theta,"695,242$"
2,(3) Kappa Kappa Gamma,"624,500$"
3,(6) Pi Beta Phi,"522,696$"
4,(9) Alpha Omicron Pi,"521,380$"
5,(14) Gamma Phi Beta,"497,675$"
6,(7) Kappa Delta,"414,793$"
7,(1) Zeta Tau Alpha,"384,039$"
8,(10) Alpha Phi,"342,935$"
9,(12) Delta Zeta,"281,668$"
10,(8) Delta Delta Delta,"264,508$"
11,(17) Alpha Gamma Delta,"234,765$"
12,(4) Alpha Delta Pi,"120,957$"
13,(13) Alpha Chi Omega,"106,675$"
14,(5) Chi Omega,"85,971$"
15,(20) Phi Sigma Sigma,"78,675$"
16,(15) Phi Mu,"77,000$"
17,(16) Sigma Kappa,"67,070$"
18,(21) Alpha Sigma Tau,"54,340$"
19,(18) Alpha Xi Delta,"47,200$"
20,(19) Sigma Sigma Sigma,"40,600$"
21,(24) Alpha Epsilon Phi,"23,571$"
22,(23) Sigma Delta Tau,"13,250$"
23,(22) Alpha Sigma Slpha,"10,375$"
24,(25) Theta Phi Alpha,"6,761$"
