,Wicket-taker,Number of wickets taken
0,A Mohammed (WI-W),120
1,EA Perry (AUS-W),114
2,A Shrubsole (ENG-W),101
3,S Ismail (SA-W),99
4,Nida Dar (PAK-W),98
5,Poonam Yadav (IND-W),95
6,M Schutt (AUS-W),89
7,SR Taylor (WI-W),89
8,Sana Mir (PAK-W),89
9,SFM Devine (NZ-W),87
10,D Hazell (ENG-W),85
11,KH Brunt (ENG-W),83
12,HASD Siriwardene (SL-W),77
13,JL Gunn (ENG-W),75
14,SF Daley (WI-W),72
15,JL Jonassen (AUS-W),69
16,Salma Khatun (BD-W),66
17,LM Kasperek (NZ-W),65
18,LA Marsh (ENG-W),64
19,HL Colvin (ENG-W),63
