, Leading players of the national football team of England,Market value in million euros
0,Harry Kane,150
1,Dele Alli,100
2,Raheem Sterling,90
3,Marcus Rashford,65
4,Kyle Walker,50
5,John Stones,50
6,Eric Dier,40
7,Jesse Lingard,35
8,Danny Rose,30
9,Jordan Pickford,30
10,Jordan Henderson,25
11,Harry Maguire,25
12,Trent Alexander-Arnold,25
13,Jack Butland,22
14,Kieran Trippier,20
15,Phil Jones,20
16,Jamie Vardy,20
17,Gary Cahill,15
18,Fabian Delph,15
19,Danny Welbeck,15
20,Ruben Loftus-Cheek,15
21,Nick Pope,10
22,Ashley Young,7
