,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",231.43
1,"Mining, quarrying, and oil and gas extraction",229.65
2,Manufacturing,228.58
3,Professional and business services,197.25
4,Government and government enterprises,161.01
5,Wholesale trade,128.36
6,"Educational services, health care, and social assistance",112.62
7,Retail trade,96.6
8,Information,73.45
9,Construction,72.32
10,Transportation and warehousing,56.18
11,"Arts, entertainment, recreation, accommodation, and food services",53.6
12,Utilities,26.47
13,"Agriculture, forestry, fishing, and hunting",12.58
