,Year,Inflation rate compared to previous year
0,2025*,3%
1,2024*,3%
2,2023*,3.49%
3,2022*,5.92%
4,2021*,8%
5,2020*,7.87%
6,2019,8.36%
7,2018,8.27%
8,2017,5.69%
9,2016,5.43%
10,2015,5.26%
11,2014,6.99%
12,2013,8.11%
13,2012,10.64%
14,2011,14.32%
15,2010,13.34%
16,2009,16.96%
17,2008,32%
18,2007,18.55%
19,2006,23.08%
20,2005,17.15%
21,2004,13.29%
22,2003,9.79%
23,2002,10.13%
24,2001,9.22%
25,2000,11%
26,1999,11.01%
27,1998,42.11%
28,1997,69.05%
29,1996,42.05%
30,1995,36.8%
31,1994,51.16%
32,1993,25.5%
33,1992,33.7%
34,1991,46.48%
35,1990,42.25%
36,1989,42.89%
37,1988,44.28%
38,1987,25%
39,1986,13.9%
40,1985,0.1%
