,Year,Men,Women
0,2014 Sochi*,1800,1000
1,2010 Vancouver,1522,1044
2,2006 Turin,1548,960
3,2002 Salt Lake City,1513,886
4,1998 Nagano,1514,788
5,1994 Lillehammer,1217,522
6,1992 Albertville,1313,488
7,1988 Calgary,1108,315
8,1984 Sarajevo,998,274
9,1980 Lake Placid,839,233
10,1976 Innsbruck,892,231
11,1972 Sapporo,800,206
12,1968 Grenoble,947,211
13,1964 Innsbruck,891,200
14,1960 Squaw Valley,521,144
15,1956 Cortina d'Ampezzo,689,132
16,1952 Oslo,585,109
17,1948 St. Moritz,592,77
18,1936 Garmisch-Partenkirchen,566,80
19,1932 Lake Placid,220,32
20,1928 St. Moritz,437,27
21,1924 Chamonix,245,13
