,Year,Inflation rate compared to previous year
0,2024*,1.5%
1,2023*,1.5%
2,2022*,1.5%
3,2021*,1.5%
4,2020*,1.5%
5,2019*,0.99%
6,2018,0.47%
7,2017,1.32%
8,2016,0.84%
9,2015,0.13%
10,2014,-1.08%
11,2013,0.71%
12,2012,1.42%
13,2011,3.4%
14,2010,1.23%
15,2009,-2.25%
16,2008,6.34%
17,2007,5.86%
18,2006,2.11%
19,2005,1.71%
20,2004,0.52%
21,2003,-0.05%
22,2002,2.4%
23,2001,3.05%
24,2000,0.75%
25,1999,0.82%
26,1998,0.99%
27,1997,1.78%
28,1996,2.84%
29,1995,8.08%
30,1994,32.1%
31,1993,-0.74%
32,1992,-0.01%
33,1991,-1.75%
34,1990,0.33%
35,1989,0.45%
36,1988,-1.82%
37,1987,-4.13%
38,1986,6.12%
39,1985,13.04%
40,1984,11.74%
