,Year,Gross domestic product in billion international dollars
0,2021*,26.72
1,2020*,25.57
2,2019*,25.16
3,2018*,23.66
4,2017*,22.39
5,2016*,21.13
6,2015*,20.45
7,2014*,19.66
8,2013*,18.26
9,2012 *,17.06
10,2011,16.43
11,2010,15.35
12,2009,14.19
13,2008,13.0
14,2007,11.85
15,2006,10.53
16,2005,9.76
17,2004,9.17
18,2003,8.47
19,2002,7.86
20,2001,7.61
21,2000,7.76
22,1999,7.53
23,1998,7.17
24,1997,7.02
25,1996,6.47
26,1995,5.78
27,1994,4.97
28,1993,5.43
29,1992,4.83
30,1991,5.1
31,1990,4.54
32,1989,4.14
33,1988,3.93
34,1987,3.68
35,1986,3.53
36,1985,3.47
37,1984,3.22
