,best-rated hotels and resorts,Average score*
0,"Singita Grumeti, Serengeti, Tanzania",99.75
1,"The Lodge & Spa at Brush Creek Ranch, Saratoga, WY, U.S.",99.53
2,"Bushmans Kloof Wilderness Reserve & Wellness Retreat, Western Cape, South Africa",99.53
3,"ITC Grand Bharat (Luxury Collection), Gurgaon, India",98.32
4,"Portrait Roma, Rome, Italy",98.01
5,"Cal-a-Vie, Vista, CA, U.S.",98.01
6,"Waldorf Astoria Jerusalem, Jerusalem, Israel",97.5
7,"Nayara Springs, Arenal, Costa Rica",97.09
8,"Shinta Mani Club, Siem Reap, Cambodia",97.06
9,"The Lodge on Little St. Simons Island, Little St. Simons Island, GA, U.S.",97.02
10,"One&Only The Palm, Dubai, U.A.E",96.88
11,"Four Seasons Safari Lodge Serengeti, Serengeti, Tanzania",96.81
12,"C Lazy U Ranch, Granby, CO, U.S.",96.78
13,"Aro Hā Wellness Retreat, Glenorchy, South Island, New Zealand",96.74
14,"The Resort at Paws Up, Greenough, MT, U.S.",96.73
