,Type Of Decease,Number of deaths
0,Malignant neoplasm*,4729
1,"Malignant neoplasm of larynx, trachea, bronchus and lung",3758
2,"Bronchitis, emphysema and asthma",3741
3,Mental disorders,3578
4,Ischaemic heart disease,3557
5,Other forms of heart disease,3275
6,Cerebrovascular disease,3195
7,Symptoms and other ill-defined conditions,2836
8,Other diseases of the nervous system and sense organs,2449
9,Pneumonia,1806
10,"Malignant neoplasm of intestine, except rectum",1415
11,Diabetes mellitus,1342
12,Malignant neoplasm of prostate,1230
13,Malignant neoplasm of breast,1113
14,Leukaemia and other neopl. of lymph. and haemato tissue,1071
15,Hypertensive disease,1035
16,Senility without mention of psychosis,1007
17,Infective and parasitic diseases (except tuberculosis),990
18,"Cirrhosis of liver, cholelithiasis and cholecystitis",926
19,Other diseases of digestive system,890
