,Month,Exchange rate
0,Feb '20,0.85
1,Jan '20,0.84
2,Dec '19,0.85
3,Nov '19,0.85
4,Oct '19,0.86
5,Sep '19,0.89
6,Aug '19,0.91
7,Jul '19,0.92
8,Jun '19,0.9
9,May '19,0.89
10,Apr '19,0.86
11,Mar '19,0.86
12,Feb '19,0.86
13,Jan '19,0.88
14,Dec '18,0.89
15,Nov '18,0.89
16,Oct '18,0.89
17,Sep '18,0.89
18,Aug '18,0.9
19,Jul '18,0.89
20,Jun '18,0.89
21,May '18,0.88
22,Apr '18,0.88
23,Mar '18,0.87
24,Feb '18,0.88
25,Jan '18,0.88
26,Dec '17,0.89
27,Nov '17,0.88
28,Oct '17,0.88
29,Sep '17,0.88
30,Aug '17,0.92
31,Jul '17,0.89
32,Jun '17,0.88
33,May '17,0.87
34,Apr '17,0.84
35,Mar '17,0.86
36,Feb '17,0.85
37,Jan '17,0.86
38,Dec '16,0.84
39,Nov '16,0.87
40,Oct '16,0.89
41,Sep '16,0.86
42,Aug '16,0.85
43,Jul '16,0.84
44,Jun '16,0.83
45,May '16,0.76
46,Apr '16,0.78
47,Mar '16,0.79
48,Feb '16,0.79
49,Jan '16,0.76
50,Dec '15,0.73
51,Nov '15,0.7
52,Oct '15,0.72
53,Sep '15,0.74
54,Aug '15,0.73
55,Jul '15,0.7
56,Jun '15,0.71
57,May '15,0.72
58,Apr '15,0.73
59,Mar '15,0.73
60,Feb '15,0.73
61,Jan '15,0.75
62,Dec '14,0.78
63,Nov '14,0.8
64,Oct '14,0.78
65,Sep '14,0.78
66,Aug '14,0.8
67,Jul '14,0.79
68,Jun '14,0.8
69,May '14,0.81
70,Apr '14,0.82
71,Mar '14,0.83
72,Feb '14,0.83
73,Jan '14,0.82
