,Response,Share of advertising investment
0,Food,15.4%
1,Automotive,10.9%
2,Distribution,8.5%
3,Pharmaceuticals,7.6%
4,Telecommunications,6%
5,Alcoholic and non-alcoholic beverages,5.8%
6,Media,5%
7,Home furnishing,4.7%
8,Utilities,4.5%
9,Finance/insurance,4.3%
10,Toiletries,3.4%
11,Personal care,3.3%
12,Professional services,2.9%
13,Apparel,2.8%
14,Institutions,2.5%
15,Manufacturing/constructions,2.2%
16,Others,2.2%
17,Leisure,2.2%
18,Tourism and travel,1.7%
19,Household appliance,1.1%
20,Personal effects,1%
21,Motorbike/vehicle,0.6%
22,Toys/school items,0.6%
23,Informatics/photography,0.5%
