,Year,Inflation rate compared to previous year
0,2025*,2%
1,2024*,1.8%
2,2023*,1.6%
3,2022*,1.2%
4,2021*,0.8%
5,2020*,0.2%
6,2019,0.24%
7,2018,1.57%
8,2017,0.74%
9,2016,1.55%
10,2015,1.41%
11,2014,0.44%
12,2013,1.88%
13,2012,1.29%
14,2011,0.91%
15,2010,0.99%
16,2009,0.97%
17,2008,3.89%
18,2007,2.04%
19,2006,3.29%
20,2005,0.98%
21,2004,1.49%
22,2003,1.16%
23,2002,2.78%
24,2001,0.61%
25,2000,1.92%
26,1999,0.69%
27,1998,2.75%
28,1997,1.04%
29,1996,2.99%
30,1995,6.12%
31,1994,5.14%
32,1993,5.18%
33,1992,5.74%
34,1991,8.99%
35,1990,6.03%
36,1989,3.14%
37,1988,2.37%
38,1987,2.7%
39,1986,8.73%
40,1985,7.73%
