,Month,Health index (2013 = 100)
0,Aug '20,110.2
1,Jul '20,110.16
2,Jun '20,110.05
3,May '20,110.1
4,Apr '20,110.22
5,Mar '20,109.96
6,Feb '20,109.87
7,Jan '20,109.72
8,Dec '19,109.18
9,Nov '19,109.0
10,Oct' 19,108.98
11,Sep '19,108.58
12,Aug '19,109.07
13,Jul '19,109.07
14,Jun '19,109.02
15,May '19,108.89
16,Apr '19,108.98
17,Mar '19,109.04
18,Feb '19,108.78
19,Jan '19,108.5
20,Dec '18,108.45
21,Nov '18,108.48
22,Oct '18,108.26
23,Sep '18,107.52
24,Aug '18,107.55
25,Jul '18,107.44
26,Jun '18,107.01
27,May '18,106.99
28,Apr '18,106.89
29,Mar '18,106.71
30,Feb '18,106.54
31,Jan '18,106.37
