,Month,Rent in U.S. dollars
0,Feb 20,1468
1,Jan 20,1463
2,Dec 19,1474
3,Nov 19*,1475
4,Oct 19,1476
5,Sep 19,1471
6,Aug 19,1472
7,Jul 19,1470
8,Jun 19,1466
9,May 19,1457
10,Apr 19,1449
11,Mar 19,1440
12,Feb 19,1431
13,Jan 19,1430
14,Dec 18,1429
15,Nov 18,1428
16,Oct 18,1427
17,Sep 18,1426
18,Aug 18,1424
19,Jul 18,1421
20,Jun 18,1418
21,May 18,1409
22,Apr 18,1401
23,Mar 18,1392
24,Feb 18,1383
25,Jan 18,1382
26,Dec 17,1381
27,Nov 17,1380
28,Oct 17,1380
29,Sep 17,1380
30,Aug 17,1380
31,Jul 17,1379
32,Jun 17,1378
33,May 17,1370
34,Apr 17,1362
35,Mar 17,1354
36,Feb 17,1346
37,Jan 17,1347
38,Dec 16,1347
39,Nov 16,1348
40,Oct 16,1350
41,Sep 16,1348
