,Month,Unemployment rate
0,Sep '20,9.6%
1,Aug '20,9.7%
2,Jul '20,9.8%
3,Jun '20,9.4%
4,May '20,8.7%
5,Apr '20,7.3%
6,Mar '20,8.5%
7,Feb '20,9.3%
8,Jan '20,9.5%
9,Dec '19,9.6%
10,Nov '19,9.5%
11,Oct '19,9.5%
12,Sep '19,9.7%
13,Aug '19,9.5%
14,Jul '19,9.7%
15,Jun '19,9.7%
16,May '19,10.1%
17,Apr '19,10.3%
18,Mar '19,10.4%
19,Feb '19,10.4%
20,Jan '19,10.4%
21,Dec '18,10.4%
22,Nov '18,10.6%
23,Oct '18,10.7%
24,Sep '18,10.4%
25,Aug '18,10.1%
26,Jul '18,10.4%
27,Jun '18,10.7%
28,May '18,10.6%
29,Apr '18,10.9%
30,Mar '18,10.9%
31,Feb '18,10.9%
32,Jan '18,11%
