,Year,Export volume in billion U.S. dollars
0,2019,256.37
1,2018,265.44
2,2017,243.51
3,2016,230.23
4,2015,236.46
5,2014,241.01
6,2013,225.95
7,2012,215.88
8,2011,198.29
9,2010,163.66
10,2009,128.89
11,2008,151.22
12,2007,135.92
13,2006,133.72
14,2005,120.25
15,2004,110.73
16,2003,97.41
17,2002,97.47
18,2001,101.3
19,2000,111.35
20,1999,86.91
21,1998,78.77
22,1997,71.39
23,1996,56.79
24,1995,46.29
25,1994,50.84
26,1993,41.58
27,1992,40.59
28,1991,33.28
29,1990,28.28
30,1989,24.98
31,1988,20.63
32,1987,14.58
33,1986,12.39
34,1985,13.63
