,State,Number of children
0,Alabama,541
1,Alaska,362
2,Arizona,2907
3,Arkansas,743
4,California,5287
5,Colorado,757
6,Connecticut,496
7,Delaware,84
8,District of Columbia,107
9,Florida,3218
10,Georgia,881
11,Hawaii,121
12,Idaho,218
13,Illinois,1648
14,Indiana,844
15,Iowa,827
16,Kansas,688
17,Kentucky,909
18,Louisiana,620
19,Maine,291
20,Maryland,340
21,Massachusetts,586
22,Michigan,2098
23,Minnesota,635
24,Mississippi,313
25,Missouri,1271
26,Montana,234
27,Nebraska,452
28,Nevada,729
29,New Hampshire,120
30,New Jersey,1016
31,New Mexico,315
32,New York,1903
33,North Carolina,1164
34,North Dakota,96
35,Ohio,1400
36,Oklahoma,1382
37,Oregon,846
38,Pennsylvania,1849
39,Puerto Rico,11
40,Rhode Island,202
41,South Carolina,449
42,South Dakota,159
43,Tennessee,1121
44,Texas,5150
45,Utah,605
46,Vermont,161
47,Virginia,621
48,Washington,1302
49,West Virginia,831
50,Wisconsin,726
51,Wyoming,11
