,State,Number of green card recipients
0,California,193093
1,New York,124026
2,Florida,118140
3,Texas,107955
4,New Jersey,48754
5,Illinois,37958
6,Massachusetts,30834
7,Georgia,27246
8,Washington,25570
9,Pennsylvania,25329
10,Virginia,24784
11,Maryland,22304
12,North Carolina,18419
13,Arizona,18181
14,Michigan,17414
15,Ohio,16467
16,Minnesota,13833
17,Colorado,13558
18,Nevada,11718
19,Connecticut,10630
20,Tennessee,9507
21,Indiana,8527
22,Oregon,8521
23,Wisconsin,7138
24,Missouri,6900
25,Utah,6838
26,Kentucky,6006
27,Iowa,5534
28,Kansas,5139
29,Louisiana,5116
30,Hawaii,4917
31,South Carolina,4675
32,Oklahoma,4642
33,Nebraska,4279
34,New Mexico,3736
35,Alabama,3669
36,Rhode Island,3445
37,Arkansas,2915
38,Puerto Rico,2555
39,District of Columbia,2398
40,Idaho,2312
41,Delaware,2084
42,New Hampshire,2046
43,Mississippi,1687
44,North Dakota,1494
45,Alaska,1374
46,Maine,1361
47,Other*,1295
48,South Dakota,1199
49,Guam,1011
50,West Virginia,817
51,Unknown,812
52,Vermont,648
53,Montana,545
54,Wyoming,410
