,State,Automobiles,Buses,Trucks,Motorcycles
0,Colorado,1785058,13305,3271595,190002
1,California,14860967,99917,14991714,842543
2,Texas,8176879,67143,13522053,364690
3,Florida,7778493,59596,8534913,586267
4,Illinois,4655844,34359,5866614,333943
5,New York,4563035,80446,5821796,392178
6,Ohio,4605459,41255,5752346,410187
7,Pennsylvania,4463267,55935,5792846,377158
8,Michigan,3257473,8737,4993400,258487
9,Georgia,3536055,36418,4665930,203922
10,North Carolina,3317918,32493,4531463,188843
11,Virginia,3251339,34268,4034926,193951
12,Washington,2925765,23566,4075464,231401
13,Indiana,2261440,20725,3637290,250579
14,New Jersey,2798699,25097,3080936,152979
15,Arizona,2391624,9051,3399704,164055
16,Tennessee,2325004,29158,3280359,165968
17,Minnesota,2146187,19980,327493,241556
18,Wisconsin,2092584,15567,3163814,324670
19,Missouri,2141050,27180,3262212,138294
20,Massachusetts,2208468,13498,2674324,168931
21,Alabama,2065463,5682,2872743,112185
22,South Carolina,1808401,17728,2459839,118132
23,Maryland,2006904,22972,2209445,118277
24,Kentucky,1691085,10759,2490198,101163
25,Oregon,1542461,17691,2400561,142738
26,Louisiana,1389436,29160,2374552,113664
27,Iowa,1268996,9284,2277194,194603
28,Oklahoma,1337624,3155,2267209,136190
29,Arkansas,926789,11941,1805510,89457
30,Connecticut,1302339,11378,1422502,90131
31,Kansas,987259,6228,1628494,95892
32,Nevada,1047508,3198,1328704,76032
33,Utah,925052,6109,1340619,83993
34,Mississippi,822864,8018,1198470,28124
35,Nebraska,677040,13564,1218765,55736
36,Montana,441392,4702,1111169,306655
37,Idaho,550006,3870,1218730,63297
38,New Mexico,609494,6278,1066512,57718
39,West Virginia,562984,3342,1064329,60582
40,New Hampshire,505381,2871,732067,78798
41,Hawaii,512386,3033,708546,35576
42,South Dakota,353180,2614,785101,117461
43,Maine,387233,4339,651349,51467
44,North Dakota,276545,3331,724941,51941
45,Delaware,419199,3763,519961,27810
46,Rhode Island,420313,2273,419314,30914
47,Wyoming,193523,4219,592555,28960
48,Alaska,173487,8080,591079,31859
49,Vermont,221936,1070,367647,30955
50,Dist. of Col.,208141,4885,128700,4290
