,Year,Inflation rate compared to previous year
0,2025*,5.4%
1,2024*,5.45%
2,2023*,5.5%
3,2022*,5.7%
4,2021*,5.5%
5,2020*,4.3%
6,2019,5.62%
7,2018,8.6%
8,2017,8.59%
9,2016,6.06%
10,2015,7.4%
11,2014,6.08%
12,2013,5.83%
13,2012,5.71%
14,2011,9.48%
15,2010,9.25%
16,2009,8.95%
17,2008,9.3%
18,2007,10.29%
19,2006,10.77%
20,2005,18.36%
21,2004,13.96%
22,2003,-1.7%
23,2002,16.5%
24,2001,7.92%
25,2000,10.67%
26,1999,8.06%
27,1998,6.21%
28,1997,4.49%
29,1996,19.76%
30,1995,49.04%
31,1994,38.99%
32,1993,9.99%
33,1992,14.57%
34,1991,8.54%
35,1990,11.86%
36,1989,9.02%
37,1988,23.34%
38,1987,15.46%
39,1986,14.49%
40,1985,10.57%
