,Country,Volume in thousand tonnes
0,Spain *,6330.53
1,Turkey *,4770.0
2,Italy **,2768.23
3,Greece *,1243.77
4,Portugal *,374.41
5,Cyprus *,80.57
6,France *,78.86
7,Albania **,40.0
8,Croatia *,19.09
9,Montenegro***,3.31
10,Bosnia and Herzegovina *,0.01
11,Slovakia,0.0
12,Poland,0.0
13,Belgium,0.0
14,Lithuania,0.0
15,Luxembourg,0.0
16,Hungary,0.0
17,Slovenia,0.0
18,Latvia *,0.0
19,Germany,0.0
20,Switzerland,0.0
21,Finland,0.0
22,Romania,0.0
23,Iceland,0.0
24,North Macedonia,0.0
25,United Kingdom,0.0
26,Sweden,0.0
27,Ireland,0.0
28,Netherlands,0.0
29,Estonia,0.0
30,Bulgaria,0.0
31,Czechia,0.0
32,Denmark *,0.0
33,Austria,0.0
34,Malta,0.0
35,Serbia,0.0
