,Players,Number of games won
0,Cy Young,511
1,Walter Johnson,417
2,Pete Alexander,373
3,Christy Mathewson,373
4,Pud Galvin,365
5,Warren Spahn,363
6,Kid Nichols,362
7,Greg Maddux,355
8,Roger Clemens,354
9,Tim Keefe,342
10,Steve Carlton,329
11,John Clarkson,328
12,Eddie Plank,326
13,Nolan Ryan,324
14,Don Sutton,324
15,Phil Niekro,318
16,Gaylord Perry,314
17,Tom Seaver,311
18,Old Hoss Radbourn,310
19,Mickey Welch,307
20,Tom Glavine,305
21,Randy Johnson,303
22,Lefty Grove,300
23,Early Wynn,300
24,Bobby Mathews,297
25,Tommy John,288
26,Bert Blyleven,287
27,Robin Roberts,286
28,Fergie Jenkins,284
29,Tony Mullane,284
