,Response,Percentage of respondents
0,Avoid travel to infected countries or areas,69%
1,Wash hands more often,69%
2,Take a vaccine if one is developed,45%
3,Avoid large gatherings of people,32%
4,Use more disinfectants,37%
5,Avoid travel by airplane for holiday or leisure,30%
6,Wear a face mask,22%
7,Avoided purchasing food products from China,29%
8,Avoid buying other products made in China,21%
9,Avoid travel by airplane for business purpose,25%
10,Avoid shaking hands with others,30%
11,Avoid travel on subways or buses,20%
12,Avoid contact with people of Chinese origin or appearance,11%
13,Avoid eating in Asian restaurants,12%
14,Avoid travel by taxis,10%
15,Not go to school or work,4%
16,"None of the above (Exclusive code, anchor)",10%
