,baseball team,Total payroll in million U.S. dollars
0,New York Yankees,254.19
1,Los Angeles Dodgers,227.83
2,Houston Astros,215.39
3,Boston Red Sox,191.05
4,Chicago Cubs,190.38
5,Philadelphia Phillies,183.7
6,Los Angeles Angels,179.59
7,St. Louis Cardinals,169.34
8,New York Mets,168.68
9,Washington Nationals,168.64
10,San Francisco Giants,163.2
11,Atlanta Braves,159.33
12,Colorado Rockies,157.28
13,Texas Rangers,153.59
14,San Diego Padres,153.12
15,Cincinnati Reds,143.14
16,Minnesota Twins,138.6
17,Chicago White Sox,130.25
18,Arizona Diamondbacks,120.21
19,Toronto Blue Jays,110.76
20,Detroit Tigers,105.53
21,Seattle Mariners,102.71
22,Milwaukee Brewers,100.66
23,Oakland Athletics,95.46
24,Cleveland Indians,91.76
25,Kansas City Royals,86.58
26,Tampa Bay Rays,72.1
27,Pittsburgh Pirates,63.31
28,Baltimore Orioles,59.99
29,Miami Marlins,58.99
