,Month,Amount of dried marijuana sold in kilograms
0,April-June 2019,5361
1,January-March 2019,5175
2,October-December 2018,5552
3,July-September 2018,5975
4,April-June 2018,6767
5,January-March 2018,6610
6,October-December 2017,6342
7,July-September 2017,5905
8,April-June 2017,5896
9,January-March 2017,5836
10,October-December 2016,5134
11,July-September 2016,4773
12,April-June 2016,4037
13,January-March 2016,3082
14,October-December 2015,2481
15,July-September 2015,1873
16,April-June 2015,1371
