,NHL Teams,Facebook fans in millions
0,NHL - league account,4.59
1,Chicago Blackhawks,2.85
2,Boston Bruins,2.2
3,Pittsburgh Penguins,2.05
4,Detroit Red Wings,2.02
5,Montreal Canadiens,1.64
6,New York Rangers,1.53
7,Toronto Maple Leafs,1.38
8,Philadelphia Flyers,1.18
9,Vancouver Canucks,1.03
10,Los Angeles Kings,0.97
11,San Jose Sharks,0.95
12,Washington Capitals,0.8
13,Colorado Avalanche,0.76
14,St. Louis Blues,0.76
15,Minnesota Wild,0.65
16,Edmonton Oilers,0.58
17,Tampa Bay Lightning,0.56
18,Buffalo Sabres,0.5
19,New Jersey Devils,0.48
20,Dallas Stars,0.48
21,Anaheim Ducks,0.42
22,Nashville Predators,0.41
23,Winnipeg Jets,0.39
24,Calgary Flames,0.38
25,Ottawa Senators,0.33
26,Columbus Blue Jackets,0.32
27,New York Islanders,0.3
28,Arizona Coyotes,0.3
29,Carolina Hurricanes,0.29
30,Florida Panthers,0.2
