,Year,Import volume in billion U.S. dollars
0,2019,13.44
1,2018,24.06
2,2017,18.87
3,2016,16.92
4,2015,22.08
5,2014,47.04
6,2013,51.81
7,2012,55.67
8,2011,47.48
9,2010,31.41
10,2009,22.05
11,2008,54.75
12,2007,35.63
13,2006,31.69
14,2005,27.19
15,2004,20.96
16,2003,18.07
17,2002,13.15
18,2001,13.27
19,2000,14.36
20,1999,8.25
21,1998,6.24
22,1997,9.37
23,1996,10.47
24,1995,8.38
25,1994,7.69
26,1993,7.71
27,1992,10.37
28,1991,10.9
29,1990,10.02
30,1989,7.16
31,1988,5.62
32,1987,4.43
33,1986,3.61
34,1985,1.91
