,Metropolitan area of Canada,"Number of homicides per 100,000 population"
0,Thunder Bay,5.56
1,Winnipeg,5.31
2,Saskatoon,4.76
3,Regina,3.05
4,Brantford,2.66
5,Moncton,2.43
6,Saint John,2.3
7,Edmonton,2.2
8,Toronto,2.03
9,St. John's,1.92
10,Hamilton,1.83
11,Greater Sudbury,1.78
12,Kingston,1.73
13,Windsor,1.69
14,Calgary,1.57
15,Vancouver,1.52
16,St. Catharines–Niagara,1.25
17,Ottawa **,1.19
18,Barrie,1.18
19,Montréal,1.05
20,London,0.91
21,Gatineau*,0.88
22,Kitchener–Cambridge–Waterloo,0.84
23,Oshawa,0.84
24,Peterborough,0.78
25,Halifax,0.68
26,Québec,0.61
27,Victoria,0.5
28,Abbotsford–Mission,0.5
29,Sherbrooke,0.49
30,Kelowna,0.46
