,Country,Length of rail network in kilometers
0,Germany,39219
1,France *,28120
2,Poland,18513
3,Italy,17105
4,United Kingdom,16320
5,Spain,15904
6,Sweden,10874
7,Romania,10766
8,Turkey,10207
9,Czech Republic,9408
10,Hungary,7752
11,Finland,5926
12,Austria,4953
13,Norway,4134
14,Switzerland,4062
15,Bulgaria,4030
16,Serbia,3736
17,Slovak Republic,3626
18,Belgium *,3605
19,Netherlands,3055
20,Croatia,2605
21,Portugal,2546
22,Denmark,2487
23,Greece,2240
24,Lithuania,1911
25,Republic of Ireland,1894
26,Latvia,1860
27,Slovenia,1209
28,Estonia,1033
29,FYR Macedonia,683
30,Albania*,423
31,Luxembourg,275
32,Montenegro,250
