,Year,Gross domestic product in billion international dollars
0,2021*,86.36
1,2020*,81.81
2,2019*,83.15
3,2018,78.3
4,2017,72.23
5,2016,68.35
6,2015,66.07
7,2014,61.16
8,2013,54.85
9,2012,49.69
10,2011,45.53
11,2010,41.73
12,2009,38.51
13,2008,37.16
14,2007,34.31
15,2006,31.45
16,2005,28.98
17,2004,26.48
18,2003,24.16
19,2002,22.47
20,2001,21.48
21,2000,21.47
22,1999,22.86
23,1998,23.43
24,1997,24.1
25,1996,25.71
26,1995,25.74
27,1994,24.54
28,1993,25.6
29,1992,28.9
30,1991,31.55
31,1990,33.34
32,1989,34.39
33,1988,33.52
34,1987,32.23
35,1986,30.63
36,1985,28.67
37,1984,27.67
