,Year,Population in thousands
0,2020,10423.06
1,2019,10473.45
2,2018,10522.24
3,2017,10569.45
4,2016,10615.18
5,2015,10659.74
6,2014,10701.46
7,2013,10740.5
8,2012,10781.12
9,2011,10829.07
10,2010,10887.64
11,2009,10959.27
12,2008,11040.31
13,2007,11120.37
14,2006,11185.23
15,2005,11224.8
16,2004,11234.99
17,2003,11218.88
18,2002,11182.31
19,2001,11134.45
20,2000,11082.1
21,1999,11027.9
22,1998,10970.12
23,1997,10906.25
24,1996,10832.14
25,1995,10745.5
26,1994,10644.94
27,1993,10533.81
28,1992,10420.23
29,1991,10315.11
30,1990,10225.99
31,1989,10155.72
32,1988,10101.35
33,1987,10057.29
34,1986,10015.12
35,1985,9968.23
36,1984,9916.48
37,1983,9860.73
38,1982,9796.83
39,1981,9719.84
40,1980,9627.0
41,1979,9515.74
42,1978,9388.72
43,1977,9254.98
44,1976,9127.06
45,1975,9014.09
46,1974,8919.25
47,1973,8840.31
48,1972,8774.51
49,1971,8716.87
50,1970,8663.57
51,1969,8614.04
52,1968,8569.14
53,1967,8528.03
54,1966,8489.87
55,1965,8453.82
56,1964,8419.3
57,1963,8385.44
58,1962,8350.88
59,1961,8314.01
60,1960,8273.63
61,1959,8229.11
62,1958,8180.31
63,1957,8127.48
64,1956,8070.96
65,1955,8011.13
66,1954,7948.28
67,1953,7882.6
68,1952,7814.17
69,1951,7742.94
70,1950,7668.79
71,1949,7620.0
72,1948,7580.0
73,1947,7550.0
74,1946,7530.0
75,1945,7500.0
76,1944,7470.0
77,1943,7440.0
78,1942,7410.0
79,1941,7370.0
80,1940,7310.0
81,1939,7240.0
82,1938,7160.0
83,1937,7060.0
84,1936,6960.0
85,1935,6870.0
86,1934,6780.0
87,1933,6680.0
88,1932,6590.0
89,1931,6510.0
90,1930,6430.0
91,1929,6350.0
92,1928,6280.0
93,1927,6210.0
94,1926,6140.0
95,1925,6080.0
96,1924,6010.0
97,1923,5950.0
98,1922,5880.0
99,1921,5830.0
100,1920,5770.0
101,1919,5720.0
102,1918,5680.0
103,1917,5640.0
104,1916,5600.0
105,1915,5560.0
106,1914,5520.0
107,1913,5480.0
108,1912,5440.0
109,1911,5410.0
110,1910,5370.0
111,1909,5330.0
112,1908,5290.0
113,1907,5250.0
114,1906,5220.0
115,1905,5180.0
116,1904,5140.0
117,1903,5110.0
118,1902,5070.0
119,1901,5030.0
120,1900,4990.0
121,1899,4950.0
122,1898,4900.0
123,1897,4850.0
124,1896,4800.0
125,1895,4750.0
126,1894,4700.0
127,1893,4650.0
128,1892,4600.0
129,1891,4560.0
130,1890,4510.0
131,1889,4460.0
132,1888,4420.0
133,1887,4370.0
134,1886,4330.0
135,1885,4280.0
136,1884,4240.0
137,1883,4200.0
138,1882,4150.0
139,1881,4110.0
140,1880,4070.0
141,1879,4030.0
142,1878,3980.0
143,1877,3940.0
144,1876,3900.0
145,1875,3860.0
146,1874,3820.0
147,1873,3780.0
148,1872,3740.0
149,1871,3710.0
150,1870,3670.0
151,1869,3630.0
152,1868,3600.0
153,1867,3570.0
154,1866,3530.0
155,1865,3500.0
156,1864,3470.0
157,1863,3440.0
158,1862,3400.0
159,1861,3370.0
160,1860,3340.0
161,1859,3310.0
162,1858,3280.0
163,1857,3250.0
164,1856,3220.0
165,1855,3190.0
166,1854,3160.0
167,1853,3130.0
168,1852,3100.0
169,1851,3070.0
170,1850,3040.0
171,1849,3020.0
172,1848,2990.0
173,1847,2960.0
174,1846,2930.0
175,1845,2910.0
176,1844,2880.0
177,1843,2850.0
178,1842,2830.0
179,1841,2800.0
180,1840,2780.0
181,1839,2750.0
182,1838,2730.0
183,1837,2700.0
184,1836,2680.0
185,1835,2650.0
186,1834,2630.0
187,1833,2600.0
188,1832,2580.0
189,1831,2560.0
190,1830,2530.0
191,1829,2510.0
192,1828,2490.0
193,1827,2470.0
194,1826,2440.0
195,1825,2420.0
196,1824,2400.0
197,1823,2380.0
198,1822,2350.0
199,1821,2340.0
200,1820,2320.0
201,1819,2310.0
202,1818,2310.0
203,1817,2300.0
204,1816,2300.0
205,1815,2300.0
206,1814,2290.0
207,1813,2290.0
208,1812,2290.0
209,1811,2280.0
210,1810,2280.0
211,1809,2280.0
212,1808,2270.0
213,1807,2270.0
214,1806,2270.0
215,1805,2270.0
216,1804,2260.0
217,1803,2260.0
218,1802,2260.0
219,1801,2250.0
220,1800,2250.0
