,Date,Percentage change in visits to groceries stores
0,03/03/2020,-11%
1,03/01/1020,-5%
2,02/29/2020,12%
3,02/28/2020,8%
4,02/27/2020,-9%
5,02/26/2020,-16%
6,02/25/2020,-3%
7,02/24/2020,3%
8,02/23/2020,34%
9,02/22/2020,32%
10,02/21/2020,-1%
11,02/20/2020,-13%
12,02/19/2020,-11%
13,02/18/2020,-19%
14,02/17/2020,-13%
15,02/16/2020,2%
16,02/15/2020,0%
17,02/14/2020,5%
18,02/13/2020,-19%
19,02/12/2020,-6%
20,02/11/2020,-10%
21,02/10/2020,-2%
22,02/09/2020,-19%
23,02/08/2020,17%
24,02/07/2020,13%
25,02/06/2020,-3%
26,02/05/2020,-7%
27,02/04/2020,-12%
28,02/03/2020,10%
29,02/02/2020,-21%
30,02/01/2020,22%
