,Cities ,Number of check-ins
0,"New Delhi, India",2287881
1,"São Paulo, Brazil",2095115
2,"New York, USA",2052125
3,"Paris, France",1367071
4,"Laos, Nigeria",646411
5,"Disneyland, California, USA",561863
6,"Los Angeles International Airport, California, USA",515500
7,"Changi Airport, Singapore",481513
8,"Amsterdam Airport Schiphol, Netherlands",372852
9,"Sydney, Australia",288981
10,"The Eiffel Tower, Paris, France",278112
11,"Jorge Chávez International Airport, Peru",210561
12,"O.R. Tambo International Airport, South Africa",196359
13,"The Louvre Museum, Paris, France",174885
14,"The Arena Corinthians, Brazil",134300
15,"The Burj Khalifa, UAE",133386
16,"Melbourne Airport, Australia",113528
17,"The Melbourne Cricket Ground, Australia",111489
18,"The Sydney Opera House, Australia",78999
19,"National Auditorium, Mexico",64748
20,"The Metropolitan Museum of Modern Art, New York, USA",63513
21,"The National Gallery, Singapore",37524
22,"SOHO Square Sharm El Sheikh, Egypt",25434
