,Year,Gross domestic product in billion international dollars
0,2021*,338.62
1,2020*,317.0
2,2019,327.25
3,2018,314.71
4,2017,298.3
5,2016,280.89
6,2015,275.14
7,2014,260.45
8,2013,249.07
9,2012,234.16
10,2011,223.04
11,2010,207.58
12,2009,197.65
13,2008,188.17
14,2007,174.26
15,2006,163.91
16,2005,147.89
17,2004,138.85
18,2003,129.02
19,2002,119.55
20,2001,114.12
21,2000,104.06
22,1999,99.87
23,1998,97.4
24,1997,89.81
25,1996,89.69
26,1995,78.38
27,1994,81.15
28,1993,71.85
29,1992,70.71
30,1991,70.62
31,1990,63.71
32,1989,59.03
33,1988,55.49
34,1987,48.54
35,1986,48.61
36,1985,44.0
37,1984,40.11
