,Telecommunication company,Turnover in million NOK
0,Telenor ASA,110425
1,Telenor Norge AS,24371
2,Telia Norge AS,10480
3,Telenor Global Services AS,2809
4,Eltel Networks AS,2504
5,Canal Digital Norge AS,2310
6,Globalconnect AS,1545
7,RiksTV AS,1317
8,Nextgentel Holding ASA,962
9,Norkring AS,935
10,Telenor Satellite AS,865
11,Kongsberg Satellite Services AS,844
12,Fugro Norway AS,762
13,Viasat AS,710
14,Brent Holding AS,686
15,Jotron AS,525
16,Netel AS,443
17,Norges Televisjon AS,442
18,Tampnet AS,407
19,Airbus Defense And Space AS,312
