,Year,Population in thousands
0,2020,2877.8
1,2019,2880.91
2,2018,2882.74
3,2017,2884.17
4,2016,2886.43
5,2015,2890.52
6,2014,2896.31
7,2013,2903.79
8,2012,2914.09
9,2011,2928.6
10,2010,2948.03
11,2009,2973.04
12,2008,3002.68
13,2007,3033.99
14,2006,3063.02
15,2005,3086.81
16,2004,3104.89
17,2003,3118.02
18,2002,3126.18
19,2001,3129.7
20,2000,3129.25
21,1999,3122.7
22,1998,3110.7
23,1997,3099.75
24,1996,3098.7
25,1995,3112.92
26,1994,3146.52
27,1993,3195.2
28,1992,3245.89
29,1991,3280.4
30,1990,3286.07
31,1989,3257.91
32,1988,3200.97
33,1987,3124.89
34,1986,3044.2
35,1985,2969.67
36,1984,2904.14
37,1983,2844.87
38,1982,2790.28
39,1981,2737.02
40,1980,2682.7
41,1979,2627.51
42,1978,2572.85
43,1977,2518.69
44,1976,2464.98
45,1975,2411.73
46,1974,2358.85
47,1973,2306.28
48,1972,2254.06
49,1971,2202.19
50,1970,2150.7
51,1969,2099.74
52,1968,2049.21
53,1967,1998.74
54,1966,1947.84
55,1965,1896.18
56,1964,1843.65
57,1963,1790.57
58,1962,1737.68
59,1961,1685.93
60,1960,1636.09
61,1959,1588.51
62,1958,1543.26
63,1957,1500.18
64,1956,1459.12
65,1955,1419.99
66,1954,1382.9
67,1953,1348.11
68,1952,1316.09
69,1951,1287.5
70,1950,1263.16
71,1949,1250.0
72,1948,1230.0
73,1947,1210.0
74,1946,1200.0
75,1945,1180.0
76,1944,1160.0
77,1943,1160.0
78,1942,1150.0
79,1941,1140.0
80,1940,1120.0
81,1939,1100.0
82,1938,1080.0
83,1937,1060.0
84,1936,1050.0
85,1935,1040.0
86,1934,1040.0
87,1933,1030.0
88,1932,1030.0
89,1931,1020.0
90,1930,1020.0
91,1929,1010.0
92,1928,1010.0
93,1927,1000.0
94,1926,995.0
95,1925,989.0
96,1924,984.0
97,1923,979.0
98,1922,974.0
99,1921,969.0
100,1920,964.0
101,1919,959.0
102,1918,954.0
103,1917,949.0
104,1916,943.0
105,1915,938.0
106,1914,932.0
107,1913,926.0
108,1912,918.0
109,1911,910.0
110,1910,901.0
111,1909,893.0
112,1908,884.0
113,1907,876.0
114,1906,868.0
115,1905,860.0
116,1904,852.0
117,1903,844.0
118,1902,836.0
119,1901,828.0
120,1900,820.0
121,1899,812.0
122,1898,804.0
123,1897,796.0
124,1896,788.0
125,1895,780.0
126,1894,772.0
127,1893,764.0
128,1892,757.0
129,1891,749.0
130,1890,742.0
131,1889,734.0
132,1888,727.0
133,1887,720.0
134,1886,713.0
135,1885,706.0
136,1884,699.0
137,1883,692.0
138,1882,686.0
139,1881,679.0
140,1880,673.0
141,1879,666.0
142,1878,660.0
143,1877,653.0
144,1876,647.0
145,1875,641.0
146,1874,634.0
147,1873,628.0
148,1872,622.0
149,1871,616.0
150,1870,610.0
151,1869,604.0
152,1868,598.0
153,1867,592.0
154,1866,586.0
155,1865,581.0
156,1864,575.0
157,1863,569.0
158,1862,564.0
159,1861,558.0
160,1860,553.0
161,1859,547.0
162,1858,542.0
163,1857,537.0
164,1856,533.0
165,1855,528.0
166,1854,523.0
167,1853,519.0
168,1852,515.0
169,1851,511.0
170,1850,507.0
171,1849,503.0
172,1848,500.0
173,1847,497.0
174,1846,494.0
175,1845,491.0
176,1844,488.0
177,1843,485.0
178,1842,483.0
179,1841,480.0
180,1840,478.0
181,1839,476.0
182,1838,474.0
183,1837,472.0
184,1836,470.0
185,1835,468.0
186,1834,466.0
187,1833,463.0
188,1832,461.0
189,1831,459.0
190,1830,457.0
191,1829,455.0
192,1828,453.0
193,1827,451.0
194,1826,449.0
195,1825,448.0
196,1824,446.0
197,1823,444.0
198,1822,442.0
199,1821,440.0
200,1820,439.0
201,1819,437.0
202,1818,435.0
203,1817,434.0
204,1816,432.0
205,1815,431.0
206,1814,429.0
207,1813,428.0
208,1812,426.0
209,1811,425.0
210,1810,424.0
211,1809,422.0
212,1808,421.0
213,1807,420.0
214,1806,418.0
215,1805,417.0
216,1804,416.0
217,1803,414.0
218,1802,413.0
219,1801,412.0
220,1800,410.0
