,American football team,Franchise value in million U.S. dollars
0,Dallas Cowboys,5700
1,New England Patriots,4400
2,New York Giants,4300
3,Los Angeles Rams,4000
4,San Francisco 49ers,3800
5,Chicago Bears,3525
6,Washington Football Team,3500
7,New York Jets,3550
8,Houston Texans,3300
9,Philadelphia Eagles,3400
10,Denver Broncos,3200
11,Las Vegas Raiders,3100
12,Green Bay Packers,3050
13,Pittsburgh Steelers,3000
14,Seattle Seahawks,3075
15,Miami Dolphins,2900
16,Atlanta Falcons,2875
17,Baltimore Ravens,2975
18,Minnesota Vikings,2950
19,Indianapolis Colts,2850
20,Los Angeles Chargers,2600
21,Carolina Panthers,2550
22,Jacksonville Jaguars,2450
23,Kansas City Chiefs,2500
24,New Orleans Saints,2475
25,Arizona Cardinals,2325
26,Tampa Bay Buccaneers,2280
27,Cleveland Browns,2350
28,Tennessee Titans,2300
29,Cincinnati Bengals,2000
30,Detroit Lions,2100
31,Buffalo Bills,2050
