,Origin,Population in thousands
0,Mexican,36986661
1,Puerto Rican,5791453
2,Cuban,2363532
3,Salvadoran,2306774
4,Dominican (Dominican Republic),2082857
5,All other Hispanic or Latino,1731898
6,Guatemalan,1524743
7,Colombian,1228468
8,Honduran,963930
9,Spaniard,819527
10,Ecuadorian,717995
11,Peruvian,684345
12,Spanish,535322
13,Venezuelan,484445
14,Nicaraguan,434000
15,Argentinean,286346
16,Panamanian,206219
17,Chilean,172062
18,Costa Rican,154784
19,Bolivian,116646
20,Uruguayan,60013
21,Other Central American,45190
22,Paraguayan,25022
23,Other South American,23211
24,Spanish American,18188
