,Year,Gross domestic product in billion U.S. dollars
0,2024*,432.3
1,2023*,412.52
2,2022*,393.85
3,2021*,376.57
4,2020*,360.51
5,2019*,347.18
6,2018,352.06
7,2017,329.87
8,2016,311.99
9,2015,302.67
10,2014,352.99
11,2013,343.58
12,2012,327.15
13,2011,344.0
14,2010,322.0
15,2009,321.24
16,2008,353.36
17,2007,319.42
18,2006,282.89
19,2005,264.47
20,2004,251.38
21,2003,218.1
22,2002,178.64
23,2001,164.79
24,2000,164.16
25,1999,177.96
26,1998,176.99
27,1997,173.54
28,1996,187.63
29,1995,185.01
30,1994,156.16
31,1993,143.2
32,1992,152.92
33,1991,139.23
34,1990,138.25
35,1989,112.41
36,1988,115.55
37,1987,109.41
38,1986,88.08
39,1985,62.66
40,1984,59.11
