,Month,Price in GBP per bunch
0,Nov '19,0.22
1,Oct '19,0.27
2,Sep '19,0.26
3,Aug '19,0.27
4,Jul '19,0.26
5,Jun '19,0.26
6,May '19,0.27
7,Apr '19,0.28
8,Nov '18,0.28
9,Oct '18,0.25
10,Sep '18,0.26
11,Aug '18,0.25
12,Jul '18,0.26
13,Jun '18,0.24
14,May '18,0.27
15,Apr '18,0.28
16,Dec '17,0.15
17,Nov '17,0.28
18,Oct '17,0.26
19,Sep '17,0.24
20,Aug '17,0.25
21,Jul '17,0.25
22,Jun '17,0.27
23,May '17,0.26
24,Apr '17,0.31
25,Nov '16,0.21
26,Oct '16,0.23
27,Sep '16,0.23
28,Aug '16,0.23
29,Jul '16,0.25
30,Jun '16,0.25
31,May '16,0.27
32,Apr '16,0.3
33,Nov '15,0.23
34,Oct '15,0.23
35,Sep '15,0.23
36,Aug '15,0.23
37,Jul '15,0.24
38,Jun '15,0.24
39,May '15,0.24
40,Apr '15,0.25
