,Sovereign Wealth Funds,Managed assets in billion U.S. dollars
0,Norway Government Pension Fund Global (Norway),1098.82
1,China Investment Corporation (China),940.6
2,Abu Dhabi Investment Authority (UAE),696.66
3,Kuwait Investment Authority (Kuwait),592.0
4,Hong Kong Monetary AuthorityInvestment Portfolio (China - Hong Kong),509.35
5,GIC Private Limited (Singapore),440.0
6,National Council for Social Security Fund (China),437.9
7,SAFE Investment Company (China)*,417.84
8,Temasek Holdings (Singapore)*,375.38
9,Qatar Investment Authority (Qatar),328.0
