,Year,Life expectancy in years
0,2020,82.22
1,2015,81.79
2,2010,80.76
3,2005,79.69
4,2000,78.58
5,1995,77.75
6,1990,76.83
7,1985,75.86
8,1980,74.31
9,1975,73.01
10,1970,72.15
11,1965,71.35
12,1960,70.32
13,1955,69.05
14,1950,67.31
15,1945,64.95
16,1940,63.03
17,1935,61.88
18,1930,58.43
19,1925,57.84
20,1920,53.97
21,1915,53.41
22,1910,51.35
23,1905,49.41
24,1900,47.6
25,1895,45.87
26,1890,45.04
27,1885,44.82
28,1880,44.08
29,1875,42.99
30,1870,42.27
31,1865,41.79
32,1860,41.43
33,1855,41.17
34,1850,40.84
35,1845,40.47
36,1840,39.94
37,1835,39.3
38,1830,39.04
39,1825,39.03
40,1820,39.03
41,1815,39.02
42,1810,39.01
43,1805,39.0
44,1800,39.0
