,business,Number of granted U.S. patents
0,International Business Machines Corp,9262
1,Samsung Electronics Co Ltd,6469
2,Canon KK,3548
3,Microsoft Technology Licensing LLC,3081
4,Intel Corp,3020
5,LG Electronics Inc,2805
6,Apple Inc,2490
7,Ford Global Technologies LLC,2468
8,Amazon Technologies Inc,2427
9,Huawei Technologies Co Ltd,2418
10,Qualcomm Inc,2348
11,Taiwan Semiconductor Manufacturing Co (TSMC) Ltd,2331
12,BOE Technology Group Co Ltd,2177
13,Sony Corp,2142
14,Google Inc,2102
15,Toyota Motor Corp,2034
16,Samsung Display Co Ltd,1946
17,General Electric Co,1818
18,Telefonaktiebolaget L M Ericsson,1607
19,Hyundai Motor Co,1504
20,Panasonic Intellectual Property Management Co Ltd,1387
21,Boeing Co,1383
22,Seiko Epson Corp,1345
23,GM Global Technology Operations LLC,1285
24,Micron Technology Inc,1268
25,United Technologies Corp,1252
26,Mitsubishi Electric Corp,1244
27,Toshiba Corp,1170
28,AT&T Intellectual Property I LP,1158
29,Robert Bosch GmbH,1107
30,Honda Motor Co Ltd,1080
31,Denso Corp,1052
32,Cisco Technology Inc,1050
33,Halliburton Energy Services Inc,1020
34,Fujitsu Ltd,1008
35,Facebook Inc,989
36,Ricoh Co Ltd,980
37,Koninklijke Philips NV,973
38,EMC IP Holding Co LLC,926
39,NEC Corp,923
40,Kia Motors Corp,921
41,Texas Instruments Inc,894
42,LG Display Co Ltd,865
43,Oracle International Corp,847
44,Murata Manufacturing Co Ltd,842
45,Sharp Corp,819
46,SK Hynix Inc,798
47,Hewlett Packard Enterprise Development LP,794
48,FUJIFILM Corp,791
49,LG Chem Ltd,791
