,Year,GDP per capita in U.S. dollars
0,2025*,2158.36
1,2024*,2062.4
2,2023*,1926.58
3,2022*,1724.42
4,2021*,1629.43
5,2020*,1455.47
6,2019*,1445.89
7,2018,1466.1
8,2017,1361.22
9,2016,1269.55
10,2015,1219.37
11,2014,1361.35
12,2013,1343.18
13,2012,1301.51
14,2011,1345.41
15,2010,1257.74
16,2009,1297.94
17,2008,1395.41
18,2007,1204.91
19,2006,1026.1
20,2005,981.31
21,2004,928.96
22,2003,815.15
23,2002,651.45
24,2001,609.72
25,2000,603.47
26,1999,676.01
27,1998,679.9
28,1997,643.17
29,1996,714.64
30,1995,706.21
31,1994,576.64
32,1993,869.09
33,1992,946.74
34,1991,910.03
35,1990,952.42
36,1989,842.54
37,1988,880.71
38,1987,917.91
39,1986,786.53
40,1985,573.04
