,Company,Percentage dividend yield
0,Mediaset,8.46%
1,Ence,6.7%
2,Repsol,6.54%
3,Endesa,6.27%
4,Enagas,6.25%
5,Sabadell,5.9%
6,IAG (Iberia),5.85%
7,Mapfre,5.84%
8,Caixabank,5.79%
9,Acerinox,5.77%
10,Telefónica,5.55%
11,Santander,5.47%
12,BBVA,5.37%
13,Bankia,5.34%
14,REE,5.33%
15,Naturgy,5.13%
16,ACS,5.07%
17,Bankinter,4.73%
18,AENA,4.42%
19,Iberdrola,4.38%
20,Merlin Prop,4.3%
21,Inditex,4.17%
22,Técnicas Reunidas,3.82%
23,Accciona,3.72%
24,Viscofan,3.32%
25,Ferrovial,3.17%
26,CIE Automotive,2.8%
27,Immobiliaria Colonial,2.22%
28,Melia Hotels INTL,2.09%
29,Amadeus,1.82%
30,Grifols,1.63%
31,Indra,1.31%
32,Siemens Gamesa,0.7%
33,Cellnex Telecom,0.36%
34,Arcelormittal,0%
