,Year,Inflation rate compared to previous year
0,2025*,11.34%
1,2024*,14.33%
2,2023*,17.33%
3,2022*,20.32%
4,2021*,23.8%
5,2020*,22.4%
6,2019,17.31%
7,2018,12.89%
8,2017,14.74%
9,2016,13.38%
10,2015,7.52%
11,2014,3.94%
12,2013,6.78%
13,2012,6.78%
14,2011,7.39%
15,2010,4.14%
16,2009,3.43%
17,2008,14.38%
18,2007,8.96%
19,2006,14.21%
20,2005,16.76%
21,2004,28.32%
22,2003,26.73%
23,2002,9.36%
24,2001,16.49%
25,2000,11.46%
26,1999,8.13%
27,1998,12.72%
28,1997,16.18%
29,1996,20.58%
30,1995,30.2%
31,1994,42.56%
32,1993,22.56%
33,1992,19.36%
34,1991,15.42%
35,1990,21.28%
36,1989,6.92%
37,1988,4.11%
38,1987,-11.45%
39,1986,3.28%
40,1985,10.65%
