,Response,Share of households
0,Iceland,96%
1,Netherlands,94%
2,Norway,92%
3,Denmark,92%
4,Switzerland,89%
5,Finland,87%
6,Germany (until 1990 former territory of the FRG),87%
7,Sweden,87%
8,United Kingdom,86%
9,Belgium,82%
10,Estonia *,81%
11,France,81%
12,European Union (15 countries),80%
13,Austria,79%
14,Euro area*,78%
15,European Union (28 countries),78%
16,European Union (27 countries),78%
17,Malta,78%
18,Ireland,78%
19,Slovakia,77%
20,Czech Republic,76%
21,Slovenia,75%
22,Luxembourg,73%
23,Hungary,73%
24,Poland,73%
25,Latvia,72%
26,Spain,67%
27,Cyprus,67%
28,Italy,66%
29,Lithuania,65%
30,Croatia,65%
31,Greece,64%
32,Portugal,63%
33,Romania *,59%
34,Bulgaria,56%
