,business schools,Tuition and fees in thousand U.S. dollars
0,"Harvard - Boston, MA",139
1,"Pennsylvania (Wharton) - Philadelphia, PA",137
2,"Columbia - New York, NY",136
3,"Dartmouth (Tuck) - Hanover, NH",135
4,"NYU (Stern) - New York, NY",131
5,"MIT (Sloan) - Cambridge, MA",130
6,"Chicago (Booth) - Chicago, IL",128
7,"Northwestern (Kellogg) - Evanston, IL",128
8,"Duke (Fuqua) - Durham, NC",128
9,"Stanford - Palo Alto, CA",127
10,"Yale - New Haven, CT",124
11,"Cornell (Johnson) - Ithaca, NY",123
12,"Michigan (Ross) - Ann Arbor, MI",122
13,"Virginia (Darden) - Charlottesville, VA",118
14,"Carnegie Mellon (Tepper) - Pittsburgh, PA",118
15,"UCLA (Anderson) - Los Angeles, CA",114
16,"UNC (Kenan-Flagler) - Chapel Hill, NC",113
17,"UC Berkeley (Haas) - Berkeley, CA",110
18,"Texas-Austin (McCombs) - Austin, TX",96
19,"Indiana (Kelley) - Bloomington, IN",93
