,Pharmaceutical company,Indicator score from 1 (lowest) to 5 (highest)
0,GlaxoSmithKline plc,4.01
1,Merck KGaA,3.34
2,Novartis AG,3.34
3,Eisai Co. Ltd.,3.19
4,Roche Holding Ltd.,3.11
5,Sanofi,3.05
6,Novo Nordisk A/S,3.03
7,Takeda Pharamceutical Co.,3.03
8,Bristol-Myers Squibb Co.,2.71
9,Pfizer Inc.,2.69
10,Johnson & Johnson,2.68
11,Bayer AG,2.61
12,Merck & Co. Inc.,2.6
13,Astellas Pharma Inc.,2.49
14,AstraZeneca plc,2.36
15,Boehringer-Ingelheim GmbH,2.34
16,Eli Lilly & Co.,2.06
17,Gilead Sciences Inc.,1.98
18,AbbVie Inc.,1.59
19,Daiichi Sankyo Co. Ltd.,1.55
