,Year,GDP per capita in U.S. dollars
0,2025*,2542.21
1,2024*,2437.41
2,2023*,2317.6
3,2022*,2198.09
4,2021*,2129.75
5,2020*,2021.31
6,2019*,2967.96
7,2018*,3620.59
8,2017,4303.69
9,2016,3620.59
10,2015,4354.92
11,2014,5625.74
12,2013,5436.52
13,2012,5245.02
14,2011,4716.25
15,2010,3641.44
16,2009,3146.8
17,2008,4081.69
18,2007,3099.09
19,2006,2561.86
20,2005,1862.42
21,2004,1222.04
22,2003,951.97
23,2002,841.42
24,2001,619.7
25,2000,652.11
26,1999,452.68
27,1998,493.04
28,1997,599.08
29,1996,525.4
30,1995,419.53
31,1994,346.24
32,1993,489.76
33,1992,695.06
34,1991,928.51
35,1990,986.64
36,1989,920.27
37,1988,812.79
38,1987,769.56
39,1986,690.45
40,1985,758.53
