,province of China,Population in million inhabitants
0,Guangdong,115.21
1,Shandong,100.7
2,Henan,96.4
3,Sichuan,83.75
4,Jiangsu,80.7
5,Hebei,75.92
6,Hunan,69.18
7,Anhui,63.66
8,Hubei,59.27
9,Zhejiang,58.5
10,Guangxi,49.6
11,Yunnan,48.58
12,Jiangxi,46.66
13,Liaoning,43.52
14,Fujian,39.73
15,Shaanxi,38.76
16,Heilongjiang,37.51
17,Shanxi,37.29
18,Guizhou,36.23
19,Chongqing,31.24
20,Jilin,26.91
21,Gansu,26.47
22,Inner Mongolia,25.4
23,Xinjiang,25.23
24,Shanghai,24.28
25,Beijing,21.54
26,Tianjin,15.62
27,Hainan,9.45
28,Ningxia,6.95
29,Qinghai,6.08
30,Tibet,3.51
