,Year,Gross domestic product in billion international dollars
0,2021*,9.58
1,2020*,8.96
2,2019*,9.36
3,2018,8.99
4,2017,8.55
5,2016,8.25
6,2015,8.65
7,2014,8.86
8,2013,8.68
9,2012,8.28
10,2011,7.91
11,2010,7.32
12,2009,6.88
13,2008,6.63
14,2007,6.25
15,2006,5.79
16,2005,5.31
17,2004,4.91
18,2003,4.46
19,2002,4.12
20,2001,3.91
21,2000,3.65
22,1999,3.57
23,1998,3.55
24,1997,3.44
25,1996,3.16
26,1995,2.79
27,1994,2.45
28,1993,2.58
29,1992,2.58
30,1991,2.43
31,1990,2.72
32,1989,2.67
33,1988,2.51
34,1987,2.19
35,1986,2.34
36,1985,2.35
37,1984,2.3
