,Year,Number of migrants
0,1957,571
1,1956,263
2,1955,129
3,1954,67
4,1953,136
5,1952,235
6,1951,98
7,1950,696
8,1949,1673
9,1948,2447
10,1947,745
11,1946,335
12,1945,195
13,1944,292
14,1943,394
15,1942,343
16,1941,451
17,1940,702
18,1939,3072
19,1938,2403
20,1937,1212
21,1936,869
22,1935,1504
23,1934,1032
24,1933,13332
25,1932,1296
26,1931,3604
27,1930,9231
28,1929,9002
29,1928,8755
30,1927,9211
31,1926,7126
32,1925,5341
33,1924,28806
34,1923,26538
35,1922,28635
36,1921,95089
37,1920,4813
38,1919,-
39,1918,-
40,1917,-
41,1916,-
42,1915,-
43,1914,-
44,1913,-
45,1912,-
46,1911,-
47,1910,-
48,1909,-
49,1908,-
50,1907,-
51,1906,-
52,1905,-
53,1904,-
54,1903,-
55,1902,-
56,1901,-
57,1900,-
58,1899,-
59,1898,4726
60,1897,4165
61,1896,691
62,1895,790
63,1894,1941
64,1893,16374
65,1892,40536
66,1891,27497
67,1890,11073
68,1889,4922
69,1888,5826
70,1887,6128
71,1886,3939
72,1885,3085
73,1884,4536
74,1883,2011
75,1882,4672
76,1881,5614
77,1880,2177
78,1879,489
79,1878,547
80,1877,533
81,1876,925
82,1875,984
83,1874,1795
84,1873,3338
85,1872,1647
86,1871,535
87,1870,223
88,1869,184
89,1868,-
90,1867,310
91,1866,412
92,1865,528
93,1864,165
94,1863,94
95,1862,63
96,1861,48
97,1860,82
98,1859,106
99,1858,9
100,1857,124
101,1856,20
102,1855,462
103,1854,208
104,1853,33
105,1852,110
106,1851,10
107,1850,5
108,1849,4
109,1848,-
110,1847,8
111,1846,4
112,1845,6
113,1844,36
114,1843,17
115,1842,10
116,1841,15
117,1840,5
118,1839,46
119,1838,41
120,1837,81
121,1836,53
122,1835,54
123,1834,54
124,1833,1
125,1832,34
126,1831,-
127,1830,2
128,1829,-
129,1828,1
130,1827,1
131,1826,-
132,1825,1
133,1824,4
134,1823,3
135,1822,3
136,1821,1
137,1820,5
