,Year,GDP in billion international dollars
0,2021*,1384.02
1,2020*,1279.36
2,2019,1362.07
3,2018,1314.46
4,2017,1249.09
5,2016,1196.55
6,2015,1152.31
7,2014,1114.73
8,2013,1066.93
9,2012,1026.7
10,2011,970.49
11,2010,924.37
12,2009,892.64
13,2008,869.54
14,2007,830.8
15,2006,774.77
16,2005,732.19
17,2004,689.2
18,2003,644.59
19,2002,615.7
20,2001,582.04
21,2000,555.05
22,1999,526.96
23,1998,497.29
24,1997,469.67
25,1996,441.5
26,1995,416.27
27,1994,396.47
28,1993,370.05
29,1992,347.92
30,1991,331.67
31,1990,324.06
32,1989,307.75
33,1988,283.05
34,1987,262.25
35,1986,243.99
36,1985,233.46
37,1984,214.59
