,State,"Larceny theft rate per 100,000 inhabitants"
0,District of Columbia,3775.4
1,Louisiana,2352.4
2,South Carolina,2116.1
3,Hawaii,2093.0
4,Alaska,2066.0
5,Oregon,2021.5
6,Arkansas,2012.6
7,New Mexico,1988.8
8,Tennessee,1934.4
9,Washington,1907.9
10,Alabama,1886.1
11,Missouri,1865.0
12,Colorado,1858.3
13,Oklahoma,1835.5
14,Arizona,1796.9
15,Delaware,1782.7
16,Georgia,1779.8
17,Texas,1730.6
18,Kansas,1721.9
19,Montana,1700.6
20,Utah,1682.4
21,Florida,1668.7
22,North Carolina,1666.0
23,Minnesota,1597.5
24,California,1586.3
25,Mississippi,1555.7
26,United States,1549.5
27,Nebraska,1536.3
28,Ohio,1520.4
29,Maryland,1485.0
30,Nevada,1453.0
31,Indiana,1443.4
32,Illinois,1426.6
33,North Dakota,1399.6
34,Virginia,1359.5
35,Kentucky,1323.5
36,South Dakota,1273.4
37,Wyoming,1206.7
38,Iowa,1199.6
39,Rhode Island,1187.5
40,Vermont,1172.3
41,New York,1166.1
42,Wisconsin,1127.0
43,Pennsylvania,1124.2
44,Michigan,1121.3
45,West Virginia,1119.7
46,Connecticut,1078.7
47,New Jersey,1034.7
48,New Hampshire,1017.3
49,Maine,1016.7
50,Massachusetts,911.8
51,Idaho,911.8
