,Response,Share of respondents
0,Improve personal hygiene,69%
1,Avoid crowded public places,59%
2,Avoid physical contact with tourists,53%
3,Avoid consumption of raw or uncooked meat,46%
4,Wear a mask when in public places,43%
5,Refrain from touching objects in public,38%
6,Avoid using public transportation,37%
7,Avoid consumption of meat/eggs in general,37%
8,Stop sending children to child care or school,20%
9,Avoid going to work,16%
10,Not applicable - I am not aware of the coronavirus(COVID-19),11%
