,film,Revenue in million U.S. dollars
0,Star Wars: The Force Awakens,936.66
1,Star Wars: The Last Jedi,620.18
2,Rogue One: A Star Wars Story,532.18
3,Star Wars Episode IX: The Rise of Skywalker,515.2
4,Star Wars Episode I: The Phantom Menace,431.09
5,Star Wars Episode III: Revenge of the Sith,380.27
6,Star Wars Episode IV: A New Hope,307.26
7,Star Wars Episode II: Attack of the Clones,302.19
8,Star Wars Episode VI: Return of the Jedi,252.58
9,Solo: A Star Wars Story,213.77
10,Star Wars Episode V: The Empire Strikes Back,209.4
