,Year,Inflation rate compared to previous year
0,2024*,1.99%
1,2023*,1.99%
2,2022*,1.99%
3,2021*,2.1%
4,2020*,2.24%
5,2019*,2.12%
6,2018,1.07%
7,2017,0.64%
8,2016,0.87%
9,2015,2.7%
10,2014,1.85%
11,2013,2.05%
12,2012,2.38%
13,2011,2.94%
14,2010,1.28%
15,2009,3.04%
16,2008,5.34%
17,2007,1.13%
18,2006,4.91%
19,2005,1.99%
20,2004,0.25%
21,2003,0.63%
22,2002,2.82%
23,2001,4.45%
24,2000,1.25%
25,1999,1.83%
26,1998,3.18%
27,1997,4.78%
28,1996,3.92%
29,1995,25.81%
30,1994,12.66%
31,1993,-3.72%
32,1992,1.89%
33,1991,-0.6%
34,1990,1.5%
35,1989,1.6%
36,1988,1.71%
37,1987,2.79%
38,1986,4.3%
39,1985,4.2%
40,1984,12.1%
